Valor_total;Valor_queda;Porcentagem_queda
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
17.20;-0.49;-2.77%
